     5      8 
     0      0         -0.000055260230056 
     0      1         -0.000000000000005 
     0      2          0.000000000000001 
     0      3         -0.000047272365772 
     0      4         -0.000000000000000 
     0      5         -0.000095020302468 
     0      6          0.000000000000003 
     0      7         -0.000145254413977 
     1      0         -0.003840891569900 
     1      1          0.000000000000282 
     1      2         -0.000000000000112 
     1      3         -0.000054681678170 
     1      4         -0.000000000000001 
     1      5         -0.005210374818881 
     1      6         -0.000000000000106 
     1      7          0.001248661100048 
     2      0         -0.000000000000062 
     2      1         -0.007375383257480 
     2      2         -0.002432585043607 
     2      3         -0.000000000000011 
     2      4         -0.000000000000000 
     2      5          0.000000000000056 
     2      6          0.009991562145724 
     2      7          0.000000000000053 
     3      0          0.013202392985170 
     3      1          0.000000000000329 
     3      2         -0.000000000000106 
     3      3          0.001369337662772 
     3      4         -0.000000000000000 
     3      5          0.000986482750173 
     3      6         -0.000000000000057 
     3      7         -0.006297849614087 
     4      0         -0.000000000000001 
     4      1          0.000000000000000 
     4      2          0.000000000000000 
     4      3         -0.000000000000001 
     4      4         -0.006066501738468 
     4      5          0.000000000000000 
     4      6          0.000000000000000 
     4      7         -0.000000000000001 
