     5      5      8      8 
     0      0      0      0         -0.000243837041946 
     0      0      0      1         -0.000000000000000 
     0      0      0      2         -0.000000000000004 
     0      0      0      3         -0.000291344919373 
     0      0      0      4          0.000000000000000 
     0      0      0      5          0.000147929366009 
     0      0      0      6          0.000000000000001 
     0      0      0      7         -0.000476972653861 
     0      0      1      0         -0.000000000000000 
     0      0      1      1         -0.000171028642743 
     0      0      1      2         -0.000094617689575 
     0      0      1      3          0.000000000000001 
     0      0      1      4          0.000000000000000 
     0      0      1      5          0.000000000000000 
     0      0      1      6         -0.000472102467917 
     0      0      1      7         -0.000000000000001 
     0      0      2      0         -0.000000000000004 
     0      0      2      1         -0.000094617689575 
     0      0      2      2         -0.000035441151097 
     0      0      2      3         -0.000000000000004 
     0      0      2      4         -0.000000000000000 
     0      0      2      5          0.000000000000003 
     0      0      2      6         -0.000265154195347 
     0      0      2      7         -0.000000000000008 
     0      0      3      0         -0.000291344919373 
     0      0      3      1          0.000000000000001 
     0      0      3      2         -0.000000000000004 
     0      0      3      3         -0.000333577164294 
     0      0      3      4         -0.000000000000000 
     0      0      3      5          0.000284452850899 
     0      0      3      6          0.000000000000005 
     0      0      3      7         -0.000484811118652 
     0      0      4      0          0.000000000000000 
     0      0      4      1          0.000000000000000 
     0      0      4      2         -0.000000000000000 
     0      0      4      3         -0.000000000000000 
     0      0      4      4         -0.001007536528050 
     0      0      4      5         -0.000000000000000 
     0      0      4      6          0.000000000000000 
     0      0      4      7          0.000000000000000 
     0      0      5      0          0.000147929366009 
     0      0      5      1          0.000000000000000 
     0      0      5      2          0.000000000000003 
     0      0      5      3          0.000284452850899 
     0      0      5      4         -0.000000000000000 
     0      0      5      5         -0.000963173204540 
     0      0      5      6          0.000000000000001 
     0      0      5      7         -0.000146012825334 
     0      0      6      0          0.000000000000001 
     0      0      6      1         -0.000472102467917 
     0      0      6      2         -0.000265154195347 
     0      0      6      3          0.000000000000005 
     0      0      6      4          0.000000000000000 
     0      0      6      5          0.000000000000001 
     0      0      6      6         -0.001095272130480 
     0      0      6      7         -0.000000000000000 
     0      0      7      0         -0.000476972653861 
     0      0      7      1         -0.000000000000001 
     0      0      7      2         -0.000000000000008 
     0      0      7      3         -0.000484811118652 
     0      0      7      4          0.000000000000000 
     0      0      7      5         -0.000146012825334 
     0      0      7      6         -0.000000000000000 
     0      0      7      7         -0.001005910205162 
     0      1      0      0          0.000105429538281 
     0      1      0      1         -0.000000000000000 
     0      1      0      2          0.000000000000001 
     0      1      0      3          0.000104467661021 
     0      1      0      4         -0.000000000000000 
     0      1      0      5         -0.000301444965277 
     0      1      0      6         -0.000000000000000 
     0      1      0      7         -0.000048658222622 
     0      1      1      0         -0.000000000000000 
     0      1      1      1          0.000316246533112 
     0      1      1      2          0.000118366413364 
     0      1      1      3         -0.000000000000002 
     0      1      1      4         -0.000000000000000 
     0      1      1      5         -0.000000000000001 
     0      1      1      6          0.000450121704659 
     0      1      1      7          0.000000000000000 
     0      1      2      0          0.000000000000002 
     0      1      2      1          0.000167880780055 
     0      1      2      2          0.000045739096514 
     0      1      2      3          0.000000000000001 
     0      1      2      4          0.000000000000000 
     0      1      2      5         -0.000000000000005 
     0      1      2      6          0.000242866476301 
     0      1      2      7         -0.000000000000000 
     0      1      3      0          0.000199291332264 
     0      1      3      1         -0.000000000000003 
     0      1      3      2          0.000000000000001 
     0      1      3      3          0.000167973300940 
     0      1      3      4          0.000000000000000 
     0      1      3      5         -0.000401653104156 
     0      1      3      6         -0.000000000000004 
     0      1      3      7          0.000000356476162 
     0      1      4      0         -0.000000000000000 
     0      1      4      1         -0.000000000000000 
     0      1      4      2          0.000000000000000 
     0      1      4      3          0.000000000000000 
     0      1      4      4          0.000948493634839 
     0      1      4      5          0.000000000000000 
     0      1      4      6         -0.000000000000000 
     0      1      4      7         -0.000000000000000 
     0      1      5      0         -0.000568045538410 
     0      1      5      1         -0.000000000000001 
     0      1      5      2         -0.000000000000008 
     0      1      5      3         -0.000547049868164 
     0      1      5      4          0.000000000000000 
     0      1      5      5          0.000708541409981 
     0      1      5      6         -0.000000000000000 
     0      1      5      7         -0.000370557020802 
     0      1      6      0         -0.000000000000001 
     0      1      6      1          0.000731142382639 
     0      1      6      2          0.000295855301265 
     0      1      6      3         -0.000000000000005 
     0      1      6      4         -0.000000000000000 
     0      1      6      5         -0.000000000000001 
     0      1      6      6          0.000951251008215 
     0      1      6      7          0.000000000000001 
     0      1      7      0         -0.000000220833965 
     0      1      7      1          0.000000000000001 
     0      1      7      2         -0.000000000000001 
