     2      2      2      2 
     0      0      0      0          1.635360932788189 
     0      0      0      1         -0.154423460962819 
     0      0      1      0         -0.154423460962819 
     0      0      1      1          0.026763001727712 
     0      1      0      0         -0.153363591199187 
     0      1      0      1          0.456020147822420 
     0      1      1      0          0.027839212708661 
     0      1      1      1          0.010992685712454 
     1      0      0      0         -0.153363591199187 
     1      0      0      1          0.027839212708661 
     1      0      1      0          0.456020147822420 
     1      0      1      1          0.010992685712454 
     1      1      0      0          0.027770958001133 
     1      1      0      1          0.013033833379537 
     1      1      1      0          0.013033833379537 
     1      1      1      1          0.497715920117793 
