     2      2      9      9 
     0      0      0      0          0.003039128293322 
     0      0      0      1         -0.000000000000000 
     0      0      0      2          0.000000000000000 
     0      0      0      3          0.000713049462953 
     0      0      0      4          0.007203198335526 
     0      0      0      5         -0.000000000000000 
     0      0      0      6         -0.000000000000000 
     0      0      0      7         -0.006189965020924 
     0      0      0      8          0.005037386458382 
     0      0      1      0         -0.000000000000000 
     0      0      1      1          0.000322674264954 
     0      0      1      2          0.000000000000000 
     0      0      1      3          0.000000000000000 
     0      0      1      4         -0.000000000000000 
     0      0      1      5          0.001760849335017 
     0      0      1      6          0.000001439455593 
     0      0      1      7          0.000000000000000 
     0      0      1      8         -0.000000000000000 
     0      0      2      0          0.000000000000000 
     0      0      2      1          0.000000000000000 
     0      0      2      2          0.000322674264967 
     0      0      2      3          0.000000000000000 
     0      0      2      4          0.000000000000000 
     0      0      2      5         -0.000001439455593 
     0      0      2      6          0.001760849335053 
     0      0      2      7          0.000000000000000 
     0      0      2      8          0.000000000000000 
     0      0      3      0          0.000713049462953 
     0      0      3      1          0.000000000000000 
     0      0      3      2          0.000000000000000 
     0      0      3      3          0.002375565702985 
     0      0      3      4          0.000808633554124 
     0      0      3      5         -0.000000000000000 
     0      0      3      6         -0.000000000000000 
     0      0      3      7         -0.000153397699736 
     0      0      3      8          0.001390720616480 
     0      0      4      0          0.007203198335526 
     0      0      4      1         -0.000000000000000 
     0      0      4      2          0.000000000000000 
     0      0      4      3          0.000808633554124 
     0      0      4      4          0.017751958481162 
     0      0      4      5         -0.000000000000000 
     0      0      4      6         -0.000000000000000 
     0      0      4      7         -0.015216612223649 
     0      0      4      8          0.011344093163335 
     0      0      5      0         -0.000000000000000 
     0      0      5      1          0.001760849335017 
     0      0      5      2         -0.000001439455593 
     0      0      5      3         -0.000000000000000 
     0      0      5      4         -0.000000000000000 
     0      0      5      5          0.010021522897167 
     0      0      5      6          0.000000000000000 
     0      0      5      7          0.000000000000000 
     0      0      5      8         -0.000000000000000 
     0      0      6      0         -0.000000000000000 
     0      0      6      1          0.000001439455593 
     0      0      6      2          0.001760849335053 
     0      0      6      3         -0.000000000000000 
     0      0      6      4         -0.000000000000000 
     0      0      6      5          0.000000000000000 
     0      0      6      6          0.010021522897154 
     0      0      6      7          0.000000000000001 
     0      0      6      8         -0.000000000000000 
     0      0      7      0         -0.006189965020924 
