     2      2      9      9 
     0      0      0      0         -0.000455313597503 
     0      0      0      1          0.000000000000000 
     0      0      0      2         -0.000000000000000 
     0      0      0      3         -0.000062206939660 
     0      0      0      4         -0.001271740046809 
     0      0      0      5          0.000000000000000 
     0      0      0      6          0.000000000000000 
     0      0      0      7          0.001120791063805 
     0      0      0      8         -0.000761584738430 
     0      0      1      0          0.000000000000000 
     0      0      1      1         -0.000016205328438 
     0      0      1      2         -0.000000000000000 
     0      0      1      3         -0.000000000000000 
     0      0      1      4          0.000000000000000 
     0      0      1      5         -0.000292823444888 
     0      0      1      6         -0.000000239376724 
     0      0      1      7         -0.000000000000000 
     0      0      1      8          0.000000000000000 
     0      0      2      0         -0.000000000000000 
     0      0      2      1         -0.000000000000000 
     0      0      2      2         -0.000016205328440 
     0      0      2      3         -0.000000000000000 
     0      0      2      4         -0.000000000000000 
     0      0      2      5          0.000000239376724 
     0      0      2      6         -0.000292823444894 
     0      0      2      7          0.000000000000000 
     0      0      2      8         -0.000000000000000 
     0      0      3      0         -0.000062206939660 
     0      0      3      1         -0.000000000000000 
     0      0      3      2         -0.000000000000000 
     0      0      3      3         -0.000265775895660 
     0      0      3      4         -0.000178584194956 
     0      0      3      5          0.000000000000000 
     0      0      3      6          0.000000000000000 
     0      0      3      7          0.000130324114536 
     0      0      3      8         -0.000168695837382 
     0      0      4      0         -0.001271740046809 
     0      0      4      1          0.000000000000000 
     0      0      4      2         -0.000000000000000 
     0      0      4      3         -0.000178584194956 
     0      0      4      4         -0.003138510359625 
     0      0      4      5          0.000000000000000 
     0      0      4      6          0.000000000000000 
     0      0      4      7          0.002562837114959 
     0      0      4      8         -0.001761960099380 
     0      0      5      0          0.000000000000000 
     0      0      5      1         -0.000292823444888 
     0      0      5      2          0.000000239376724 
     0      0      5      3          0.000000000000000 
     0      0      5      4          0.000000000000000 
     0      0      5      5         -0.001740460101810 
     0      0      5      6         -0.000000000000000 
     0      0      5      7         -0.000000000000000 
     0      0      5      8          0.000000000000000 
     0      0      6      0          0.000000000000000 
     0      0      6      1         -0.000000239376724 
     0      0      6      2         -0.000292823444894 
     0      0      6      3          0.000000000000000 
     0      0      6      4          0.000000000000000 
     0      0      6      5         -0.000000000000000 
     0      0      6      6         -0.001740460101808 
     0      0      6      7         -0.000000000000000 
     0      0      6      8          0.000000000000000 
     0      0      7      0          0.001120791063805 
     0      0      7      1         -0.000000000000000 
     0      0      7      2          0.000000000000000 
     0      0      7      3          0.000130324114536 
     0      0      7      4          0.002562837114959 
     0      0      7      5         -0.000000000000000 
     0      0      7      6         -0.000000000000000 
     0      0      7      7         -0.002406606271379 
     0      0      7      8          0.001525412626265 
     0      0      8      0         -0.000761584738430 
     0      0      8      1          0.000000000000000 
     0      0      8      2         -0.000000000000000 
     0      0      8      3         -0.000168695837382 
     0      0      8      4         -0.001761960099380 
     0      0      8      5          0.000000000000000 
     0      0      8      6          0.000000000000000 
     0      0      8      7          0.001525412626265 
     0      0      8      8         -0.001355386874510 
     0      1      0      0         -0.000483949575598 
     0      1      0      1         -0.000000000000000 
     0      1      0      2         -0.000000000000000 
     0      1      0      3         -0.001133298276859 
     0      1      0      4          0.000212773386494 
     0      1      0      5         -0.000000000000000 
     0      1      0      6         -0.000000000000000 
     0      1      0      7         -0.001562011285509 
     0      1      0      8         -0.001072896397666 
     0      1      1      0         -0.000000000000000 
     0      1      1      1         -0.000251780257327 
     0      1      1      2         -0.000000000000000 
     0      1      1      3         -0.000000000000000 
     0      1      1      4         -0.000000000000000 
     0      1      1      5         -0.000583175676303 
     0      1      1      6         -0.000000476733286 
     0      1      1      7         -0.000000000000000 
     0      1      1      8         -0.000000000000000 
     0      1      2      0         -0.000000000000000 
     0      1      2      1         -0.000000000000000 
     0      1      2      2         -0.000251780257334 
     0      1      2      3         -0.000000000000000 
     0      1      2      4         -0.000000000000000 
     0      1      2      5          0.000000476733286 
     0      1      2      6         -0.000583175676313 
     0      1      2      7         -0.000000000000000 
     0      1      2      8         -0.000000000000000 
     0      1      3      0         -0.000810070248992 
     0      1      3      1         -0.000000000000000 
     0      1      3      2         -0.000000000000000 
     0      1      3      3         -0.001198415709281 
     0      1      3      4         -0.000254934970530 
     0      1      3      5          0.000000000000000 
     0      1      3      6          0.000000000000000 
     0      1      3      7         -0.001644334740322 
     0      1      3      8         -0.001725537517077 
     0      1      4      0         -0.000567249057857 
     0      1      4      1         -0.000000000000000 
     0      1      4      2         -0.000000000000000 
     0      1      4      3         -0.001839950998221 
     0      1      4      4          0.000720809332576 
     0      1      4      5         -0.000000000000000 
     0      1      4      6         -0.000000000000000 
     0      1      4      7         -0.002255015565166 
     0      1      4      8         -0.001038729388184 
     0      1      5      0          0.000000000000000 
     0      1      5      1         -0.001206277684637 
     0      1      5      2          0.000000986105469 
     0      1      5      3          0.000000000000000 
     0      1      5      4         -0.000000000000000 
     0      1      5      5         -0.002747632672557 
     0      1      5      6         -0.000000000000000 
     0      1      5      7          0.000000000000000 
     0      1      5      8          0.000000000000000 
     0      1      6      0          0.000000000000000 
     0      1      6      1         -0.000000986105469 
     0      1      6      2         -0.001206277684646 
     0      1      6      3          0.000000000000000 
     0      1      6      4         -0.000000000000000 
     0      1      6      5         -0.000000000000000 
     0      1      6      6         -0.002747632672551 
     0      1      6      7          0.000000000000000 
     0      1      6      8          0.000000000000000 
     0      1      7      0         -0.000460769812412 
     0      1      7      1         -0.000000000000000 
     0      1      7      2         -0.000000000000000 
     0      1      7      3         -0.000154344086406 
     0      1      7      4         -0.000739952411351 
     0      1      7      5          0.000000000000000 
     0      1      7      6          0.000000000000000 
     0      1      7      7         -0.000033079631037 
     0      1      7      8         -0.001384572929800 
     0      1      8      0         -0.000851996383575 
     0      1      8      1         -0.000000000000000 
     0      1      8      2         -0.000000000000000 
     0      1      8      3         -0.001703718967864 
     0      1      8      4          0.000090792335207 
     0      1      8      5         -0.000000000000000 
     0      1      8      6         -0.000000000000000 
     0      1      8      7         -0.002707969580790 
     0      1      8      8         -0.002548791018201 
     1      0      0      0         -0.000483949575598 
     1      0      0      1         -0.000000000000000 
     1      0      0      2         -0.000000000000000 
     1      0      0      3         -0.000810070248992 
     1      0      0      4         -0.000567249057857 
     1      0      0      5          0.000000000000000 
     1      0      0      6          0.000000000000000 
     1      0      0      7         -0.000460769812412 
     1      0      0      8         -0.000851996383575 
     1      0      1      0         -0.000000000000000 
     1      0      1      1         -0.000251780257327 
     1      0      1      2         -0.000000000000000 
     1      0      1      3         -0.000000000000000 
     1      0      1      4         -0.000000000000000 
     1      0      1      5         -0.001206277684637 
     1      0      1      6         -0.000000986105469 
     1      0      1      7         -0.000000000000000 
     1      0      1      8         -0.000000000000000 
     1      0      2      0         -0.000000000000000 
     1      0      2      1         -0.000000000000000 
     1      0      2      2         -0.000251780257334 
     1      0      2      3         -0.000000000000000 
     1      0      2      4         -0.000000000000000 
     1      0      2      5          0.000000986105469 
     1      0      2      6         -0.001206277684646 
     1      0      2      7         -0.000000000000000 
     1      0      2      8         -0.000000000000000 
     1      0      3      0         -0.001133298276859 
     1      0      3      1         -0.000000000000000 
     1      0      3      2         -0.000000000000000 
     1      0      3      3         -0.001198415709281 
     1      0      3      4         -0.001839950998221 
     1      0      3      5          0.000000000000000 
     1      0      3      6          0.000000000000000 
     1      0      3      7         -0.000154344086406 
     1      0      3      8         -0.001703718967864 
     1      0      4      0          0.000212773386494 
     1      0      4      1         -0.000000000000000 
     1      0      4      2         -0.000000000000000 
     1      0      4      3         -0.000254934970530 
     1      0      4      4          0.000720809332576 
     1      0      4      5         -0.000000000000000 
     1      0      4      6         -0.000000000000000 
     1      0      4      7         -0.000739952411351 
     1      0      4      8          0.000090792335207 
     1      0      5      0         -0.000000000000000 
     1      0      5      1         -0.000583175676303 
     1      0      5      2          0.000000476733286 
     1      0      5      3          0.000000000000000 
     1      0      5      4         -0.000000000000000 
     1      0      5      5         -0.002747632672557 
     1      0      5      6         -0.000000000000000 
     1      0      5      7          0.000000000000000 
     1      0      5      8         -0.000000000000000 
     1      0      6      0         -0.000000000000000 
     1      0      6      1         -0.000000476733286 
     1      0      6      2         -0.000583175676313 
     1      0      6      3          0.000000000000000 
     1      0      6      4         -0.000000000000000 
     1      0      6      5         -0.000000000000000 
     1      0      6      6         -0.002747632672551 
     1      0      6      7          0.000000000000000 
     1      0      6      8         -0.000000000000000 
     1      0      7      0         -0.001562011285509 
     1      0      7      1         -0.000000000000000 
     1      0      7      2         -0.000000000000000 
     1      0      7      3         -0.001644334740322 
     1      0      7      4         -0.002255015565165 
     1      0      7      5          0.000000000000000 
     1      0      7      6          0.000000000000000 
     1      0      7      7         -0.000033079631036 
     1      0      7      8         -0.002707969580790 
     1      0      8      0         -0.001072896397666 
     1      0      8      1         -0.000000000000000 
     1      0      8      2         -0.000000000000000 
     1      0      8      3         -0.001725537517077 
     1      0      8      4         -0.001038729388184 
     1      0      8      5          0.000000000000000 
     1      0      8      6          0.000000000000000 
     1      0      8      7         -0.001384572929800 
     1      0      8      8         -0.002548791018201 
     1      1      0      0         -0.019096625987616 
     1      1      0      1         -0.000000000000000 
     1      1      0      2         -0.000000000000001 
     1      1      0      3         -0.027703550679152 
     1      1      0      4         -0.000769284299472 
     1      1      0      5         -0.000000000000000 
     1      1      0      6         -0.000000000000000 
     1      1      0      7         -0.028162761395266 
     1      1      0      8         -0.014460230802901 
     1      1      1      0         -0.000000000000000 
     1      1      1      1         -0.010948175583486 
     1      1      1      2         -0.000000000000000 
     1      1      1      3         -0.000000000000000 
     1      1      1      4         -0.000000000000000 
     1      1      1      5         -0.016297459511989 
     1      1      1      6         -0.000013322814611 
     1      1      1      7         -0.000000000000001 
     1      1      1      8         -0.000000000000000 
     1      1      2      0         -0.000000000000001 
     1      1      2      1         -0.000000000000000 
     1      1      2      2         -0.010948175583608 
     1      1      2      3         -0.000000000000001 
     1      1      2      4         -0.000000000000001 
     1      1      2      5          0.000013322814611 
     1      1      2      6         -0.016297459512047 
     1      1      2      7         -0.000000000000001 
     1      1      2      8         -0.000000000000001 
     1      1      3      0         -0.027703550679152 
     1      1      3      1         -0.000000000000000 
     1      1      3      2         -0.000000000000001 
     1      1      3      3         -0.047434714271782 
     1      1      3      4          0.001303223787653 
     1      1      3      5          0.000000000000000 
     1      1      3      6          0.000000000000000 
     1      1      3      7         -0.039462514887424 
     1      1      3      8         -0.027619503280547 
     1      1      4      0         -0.000769284299472 
     1      1      4      1         -0.000000000000000 
     1      1      4      2         -0.000000000000001 
     1      1      4      3          0.001303223787653 
     1      1      4      4         -0.001345004034688 
     1      1      4      5         -0.000000000000000 
     1      1      4      6         -0.000000000000001 
     1      1      4      7         -0.003114235469575 
     1      1      4      8         -0.000128417059249 
     1      1      5      0         -0.000000000000000 
     1      1      5      1         -0.016297459511989 
     1      1      5      2          0.000013322814611 
     1      1      5      3          0.000000000000000 
     1      1      5      4         -0.000000000000000 
     1      1      5      5         -0.026482293490074 
     1      1      5      6         -0.000000000000000 
     1      1      5      7         -0.000000000000000 
     1      1      5      8         -0.000000000000000 
     1      1      6      0         -0.000000000000000 
     1      1      6      1         -0.000013322814611 
     1      1      6      2         -0.016297459512047 
     1      1      6      3          0.000000000000000 
     1      1      6      4         -0.000000000000001 
     1      1      6      5         -0.000000000000000 
     1      1      6      6         -0.026482293489952 
     1      1      6      7         -0.000000000000000 
     1      1      6      8         -0.000000000000000 
     1      1      7      0         -0.028162761395266 
     1      1      7      1         -0.000000000000001 
     1      1      7      2         -0.000000000000001 
     1      1      7      3         -0.039462514887424 
     1      1      7      4         -0.003114235469575 
     1      1      7      5         -0.000000000000000 
     1      1      7      6         -0.000000000000000 
     1      1      7      7         -0.049175348357956 
     1      1      7      8         -0.027812174283378 
     1      1      8      0         -0.014460230802901 
     1      1      8      1         -0.000000000000000 
     1      1      8      2         -0.000000000000001 
     1      1      8      3         -0.027619503280547 
     1      1      8      4         -0.000128417059248 
     1      1      8      5         -0.000000000000000 
     1      1      8      6         -0.000000000000000 
     1      1      8      7         -0.027812174283379 
     1      1      8      8         -0.034094088407977 
