     2      9      2      2 
     0      0      0      0          0.042364855696118 
     0      0      0      1          0.013063446052202 
     0      0      1      0         -0.003712938157763 
     0      0      1      1          0.005728144859309 
     0      1      0      0         -0.000000000000001 
     0      1      0      1          0.000000000000001 
     0      1      1      0          0.000000000000000 
     0      1      1      1          0.000000000000000 
     0      2      0      0         -0.000000000000001 
     0      2      0      1          0.000000000000002 
     0      2      1      0          0.000000000000000 
     0      2      1      1          0.000000000000000 
     0      3      0      0         -0.018277886111218 
     0      3      0      1          0.070827726381656 
     0      3      1      0          0.006593662558329 
     0      3      1      1          0.005017489700862 
     0      4      0      0          0.126795085501088 
     0      4      0      1         -0.045980461774032 
     0      4      1      0         -0.014296595966717 
     0      4      1      1          0.004344680118138 
     0      5      0      0         -0.000000000000001 
     0      5      0      1          0.000000000000000 
     0      5      1      0          0.000000000000000 
     0      5      1      1         -0.000000000000000 
     0      6      0      0         -0.000000000000005 
     0      6      0      1          0.000000000000002 
     0      6      1      0          0.000000000000001 
     0      6      1      1         -0.000000000000000 
     0      7      0      0         -0.097347411185599 
     0      7      0      1          0.040899129521175 
     0      7      1      0          0.015075420149490 
     0      7      1      1          0.006700444366766 
     0      8      0      0          0.065598173141831 
     0      8      0      1          0.037262319758146 
     0      8      1      0         -0.007323994354924 
     0      8      1      1          0.010032352687851 
     1      0      0      0         -0.003959905180262 
     1      0      0      1          0.005007786973896 
     1      0      1      0          0.011535210623730 
     1      0      1      1          0.054559753188143 
     1      1      0      0          0.000000000000000 
     1      1      0      1          0.000000000000000 
     1      1      1      0          0.000000000000000 
     1      1      1      1          0.000000000000001 
     1      2      0      0          0.000000000000000 
     1      2      0      1          0.000000000000000 
     1      2      1      0          0.000000000000000 
     1      2      1      1          0.000000000000002 
     1      3      0      0          0.006193602182608 
     1      3      0      1          0.004434424654455 
     1      3      1      0          0.011861789493763 
     1      3      1      1          0.091717142080157 
     1      4      0      0         -0.014078013621818 
     1      4      0      1          0.003836891587083 
     1      4      1      0          0.020486649771570 
     1      4      1      1         -0.013426042081231 
     1      5      0      0          0.000000000000000 
     1      5      0      1         -0.000000000000000 
     1      5      1      0         -0.000000000000000 
     1      5      1      1          0.000000000000000 
     1      6      0      0          0.000000000000001 
     1      6      0      1         -0.000000000000000 
     1      6      1      0         -0.000000000000001 
     1      6      1      1          0.000000000000001 
     1      7      0      0          0.014439697305510 
     1      7      0      1          0.006443573637119 
     1      7      1      0         -0.002172789473643 
     1      7      1      1          0.103218212632232 
     1      8      0      0         -0.007270370606659 
     1      8      0      1          0.010813793354605 
     1      8      1      0          0.019070813897801 
     1      8      1      1          0.078473848407045 
